id,season_id,rank_id,kill_death_ratio,average_damage,match_counts,is_party,create_date
293,10,13,0.96,416,2000,0,2021-11-12 04:25:47.883
294,11,15,28.57,867.45,-1,1,2021-11-12 04:26:02.633
295,9,14,1.3,450,-1,0,2021-11-12 04:26:38.540
296,9,14,1.3,450,-1,1,2021-11-12 04:26:59.533
297,11,21,1.03,427.5,-1,1,2021-11-12 04:27:29.560
298,10,21,1.03,427.5,-1,1,2021-11-12 04:27:44.213
299,10,20,1.03,427.5,-1,1,2021-11-12 04:27:59.617
300,10,20,0.14,146.11,-1,1,2021-11-12 04:28:19.667
301,10,22,0.14,146.11,-1,1,2021-11-12 04:28:37.927
302,11,13,1.5,300,-1,1,2021-11-12 04:29:26.123
303,10,22,5.1,900,300,0,2021-11-12 04:29:33.617
304,11,13,3.47,879.45,-1,1,2021-11-12 04:30:00.863
305,11,13,3.47,879.45,-1,0,2021-11-12 04:30:17.097
306,9,20,3.4,800,120,1,2021-11-12 04:30:22.957
307,10,20,5,1000,2000,0,2021-11-12 04:32:59.437
308,10,16,0.8,422,511,1,2021-11-12 05:01:03.797
309,9,16,0.8,422,1000,1,2021-11-12 05:01:55.650
310,9,16,0.8,422,511,1,2021-11-12 05:02:22.033
311,10,21,1.3,600,1200,1,2021-11-12 05:09:00.173
312,11,21,2.7,800,8000,0,2021-11-12 05:09:48.200
313,11,22,0.47,185.77,731,1,2021-11-12 05:14:50.963
314,9,20,2.3,700,-1,0,2021-11-12 05:27:42.080
315,11,4,0.47,185.77,731,1,2021-11-12 05:28:46.973
316,5,20,4.5,1200,56,1,2021-11-12 05:44:05.210
317,11,20,3.9,896,80000,0,2021-11-12 05:59:24.100
318,11,21,1.5,1200,5000,1,2021-11-12 06:04:07.900
319,11,20,1.5,1200,5000,1,2021-11-12 06:04:41.933
320,10,22,2.5,700,500,0,2021-11-12 06:45:47.263
321,11,18,2,600,9000,0,2021-11-12 07:16:10.830
322,10,19,2.85,775.69,800,1,2021-11-12 07:19:30.153
323,10,16,1.2,480,5000,0,2021-11-12 07:38:26.993
324,9,20,2.08,629.16,1572,0,2021-11-12 07:47:03.753
325,11,16,0.8,330,2000,1,2021-11-12 07:50:49.900
326,10,12,1.23,510,800,1,2021-11-12 07:52:13.070
327,10,16,1.23,510,800,1,2021-11-12 07:52:52.417
328,11,16,0.83,320,2400,0,2021-11-12 07:53:50.373
329,12,22,4.36,830,233,0,2021-11-12 08:52:21.940
330,1,22,4.36,830,-1,0,2021-11-12 08:53:00.650
