id,kill_death_ratio,average_damage,match_counts,is_party,rank_id
778,0.94,420,372,0,16
779,1.64,600.27,371,1,16
780,1.02,409,5492,1,16
781,0.62,317.74,696,0,13
782,1.41,552.82,803,1,16
783,0.75,338,613,1,16
784,0.97,462.07,327,1,16
785,0.52,258.53,2965,0,13
786,10,3500,13852,0,21
787,1.32,489.84,219,1,16
788,1.2,600,200,1,17
789,1.5,567,274,1,16
790,3.2,800,100,1,20
791,0.8,360,5155,0,16
792,0.8,360,5155,0,16
793,0.8,360,5155,0,19
794,0.8,370,5155,0,16
795,1.5,550,-1,1,16
796,1.38,403.84,184,0,16
797,2,600,100,0,16
798,1.17,400,1100,0,16
799,1.17,378,1100,0,16
800,1.17,378,1100,1,16
801,1.3,550,13000,0,17
802,6,1300,100,0,22
803,7,1300,200,0,16
804,24,4000,3,0,22
805,24,4000,30,0,22
806,24,4000,300,0,22
807,7,1800,1000,0,20
808,7,1600,1000,0,20
809,1.4,700,1500,0,18
810,1.53,490,7800,0,16
811,1.53,490,7800,0,22
812,3.5,1050,7800,0,16
813,3.5,1050,7800,0,21
814,0.2,100,7800,0,21
815,0.2,100,7800,0,14
816,0.2,100,3,0,14
817,0.2,100,3,0,0
818,1.8,680,-1,1,16
819,1,500,400,0,17
820,9,2000,100,0,21
821,8.6,1200,3150,1,20
822,1.5,500,150,0,15
823,5,4000,15,0,4
824,1.7,600,1200,1,20
825,1.5,500,7000,1,20
826,1.8,600,8500,1,20
827,1,400,4800,1,16
828,1.2,854,-1,0,13
829,2,700,500,1,21
830,0.7,500,3000,0,16
831,1.7,1000,1000,0,12
832,1.56,1143,504,0,16
833,1.8,600,9000,1,17
834,1,400,1500,0,13
835,1.04,397,1126,0,13
836,0.74,293,11366,0,13
837,1.99,600,3000,0,16
838,1.05,290.72,2091,0,10
839,2,600,-1,0,17
840,2.12,612,1200,0,17
841,0.39,160,1000,1,4
842,0.3,500,1000,0,4
843,1,450,200,0,12
844,8.5,1000,500,0,22
845,8.5,1000,500,0,16
846,8.5,1000,500,0,19
847,2.3,689,2000,0,16
848,0.7,2616,1700,0,12
849,0.6,350,3000,0,13
850,1.25,480.94,6000,0,17
851,1.25,480.94,6000,0,17
852,1.25,480.94,6000,0,17
